name,BM2,BM3
IGKV3D-11,6,2
IGHV4-39,163,224
IGHV3-23,92,144
IGLV3-25,35,73
IGKV3-20,121,179
IGHV2-70,16,23
IGHV4-34,133,63
IGKV1-5,67,105
IGHV2-26,22,15
IGLV1-44,50,86
IGHV1-69D,120,204
IGLV8-61,8,20
IGKV1-8,20,41
IGHV3-48,68,104
IGHV1-2,99,86
IGLV2-8,8,21
IGKV4-1,67,134
IGHV3-74,31,38
IGLV4-69,14,16
IGKV3-11,64,127
IGHV3-7,64,64
IGHV1-46,39,60
IGHV1-69-2,4,8
IGKV3-15,38,91
IGKV1-27,10,28
IGLV1-51,34,100
IGHV3-43,47,89
IGHV4-61,36,17
IGHV4-59,133,146
IGLV2-23,34,61
IGHV3-49,36,44
IGKV1D-39,83,108
IGHV3-33,92,175
IGLV3-1,42,138
IGHV1-8,40,62
IGHV1-18,80,94
IGLV5-37,2,6
IGKV1D-8,11,11
IGHV5-51,51,94
IGKV2-28,34,107
IGHV2-70D,4,10
IGKV1-12,18,24
IGHV3-15,39,69
IGKV1-9,13,41
IGLV2-14,84,177
IGKV1D-33,19,46
IGKV1D-17,8,10
IGHV3-11,26,55
IGLV4-60,10,10
IGLV7-46,8,20
IGKV2-30,18,57
IGLV2-18,14,6
IGKV1-16,10,29
IGHV3-21,33,108
IGLV6-57,20,24
IGLV1-36,4,9
IGKV3D-15,19,30
IGKV1D-13,16,24
IGHV3-64,11,13
IGLV1-40,40,92
IGKV1-33,19,36
IGKV3D-20,2,5
IGHV1-58,3,4
IGLV3-21,83,55
IGHV3-66,18,21
IGKV1-39,2,5
IGHV2-5,30,44
IGHV1-24,11,19
IGLV3-19,33,53
IGLV9-49,7,8
IGLV7-43,7,7
IGHV3-30,34,65
IGLV1-47,18,38
IGHV3-20,10,9
IGHV6-1,4,8
IGHV3-53,6,35
IGKV2-24,9,8
IGLV10-54,4,2
IGHV1-69,2,3
IGLV2-11,12,52
IGKV2D-29,10,23
IGHV3-72,3,10
IGKV2D-30,2,1
IGKV2D-40,2,4
IGHV3-73,6,24
IGKV1D-43,1,4
IGKV6-21,3,6
IGHV3-13,5,14
IGLV5-45,5,9
IGHV4-30-2,1,62
IGKV1D-16,3,1
IGLV3-9,2,7
IGLV3-10,4,8
IGKV1-6,4,15
IGKV2D-24,1,0
IGHV1-3,3,32
IGLV3-27,1,7
IGLV4-3,2,2
IGLV5-39,1,3
IGKV5-2,3,7
IGKV1D-12,1,3
IGHV4-4,1,39
IGHV4-31,1,2
IGHV1-45,1,1
IGLV5-52,1,2
IGHV7-81,1,0
IGLV3-16,0,3
IGKV3D-7,0,3
IGKV1-17,0,8
IGHV4-28,0,8
IGKV2D-28,0,2
IGHV7-4-1,0,2
IGKV2-18,0,1
IGKV2D-26,0,1
